Reference,width,length,factor,Predicted Factor,Difference,Angle Gap,Fit Give,Within thresholds
38.0,4.571007019992637,5.636697995356871,1.0271898437256077,1.0354832035629313,-0.0082933598373236,57.08158816329928,0.17562437308510365,1.0
41.0,6.88296089927634,10.087318054849083,0.9948287,0.9964202798434149,-0.0015915798434148476,145.06422443183357,0.26270647655696855,0.0
112.0,3.5106890410515814,4.141419801834907,1.0539036477515922,1.0604058435810486,-0.006502195829456436,163.44302079567484,0.7688466183787708,0.0
20.0,4.2658975788409945,5.041728927974766,1.037966739503372,1.0423960405746675,-0.004429301071295466,55.226746329549876,0.15311895054014135,1.0
83.0,5.676411224961027,7.903128757054442,1.0105517696196968,1.0119832533318938,-0.0014314837121969237,90.6525851078064,0.12781800302967716,1.0
58.0,5.9686162512167416,7.24911329514775,1.0089991220368746,1.010512088245262,-0.0015129662083874784,46.21373862149794,0.09994187533519339,1.0
33.0,5.933828680184388,6.141369152622789,1.0067893123083662,1.0126158870553754,-0.0058265747470092055,26.747646643340076,0.05896124494386085,1.0
6.0,7.245139500210558,10.062914826327876,1.00130208,0.9944686584988631,0.0068334215011369714,107.36794674739453,0.16882117686908693,1.0
16.0,6.176972470912286,10.235481896124544,0.99956729,0.9975265724426696,0.0020407175573303737,169.566623080525,0.3847451312888682,0.0
34.0,7.095173597057039,9.471365466679448,0.99333046,0.9970457322103881,-0.003715272210388032,86.48278803621348,0.13012168864393792,1.0
109.0,6.478521868391856,7.636964452781943,1.00697928,1.0042580461164525,0.0027212338835473915,57.151393216344175,0.11036260149055965,1.0
43.0,6.103848814671425,7.736636963756933,1.0077825276772991,1.0077875270331058,-4.999355806667438e-06,47.86610498394875,0.11597763830917135,1.0
57.0,3.541777536659771,4.6557610207703215,1.0597044962793596,1.0422536782383753,0.01745081804098425,193.92995826384325,0.8624485246749758,0.0
82.0,6.276570157410325,7.584044570027621,1.00086711,1.006432836757754,-0.005565726757754019,46.5880623456823,0.10980248691103311,1.0
104.0,5.578053532780792,8.115864332509489,1.0066006600660067,1.0126080258239376,-0.006007365757930927,106.72060725170245,0.13923628489592998,1.0
14.0,4.507534970377006,4.917415344467226,1.043026500966466,1.037835917584762,0.005190583381704084,64.53718743191156,0.11099205676040458,1.0
19.0,5.804896340462122,10.176211062305844,1.0010888501742161,1.0010225039933465,6.63461808696475e-05,174.4360021780791,0.40558066707373475,0.0
106.0,6.042541773334117,9.643383291220337,1.0008708904855215,1.001742255170636,-0.0008713646851146173,103.6148370443989,0.1927999936071238,1.0
73.0,7.253006775448718,9.401195759600622,0.99547219,0.9963460967127353,-0.0008739067127353506,98.88624256343954,0.1492000499963721,1.0
70.0,7.461884602989656,8.181919646854162,0.9971904,0.9959134785643731,0.0012769214356269654,111.12187279130703,0.17625405351911827,1.0
22.0,5.216352961987002,9.919577459860283,1.0117127071823204,1.0030995663060318,0.008613140876288616,298.9083521738083,0.931056126162023,0.0
32.0,7.728437132360171,10.890306482184462,0.99333046,1.0000154734054538,-0.006685013405453799,200.25498341882047,0.7703417234138972,0.0
18.0,7.637565897013498,9.560353959974046,0.99805447,0.9947087739398534,0.0033456960601466745,142.27934180558873,0.46085503597867816,0.0
3.0,4.536054606897385,6.035738119926211,1.0327044113320498,1.0348163553243597,-0.0021119439923098504,108.05022785428605,0.28855541111851807,1.0
,6.0,6.0,1.0144357,1.0103613110129466,0.004074388987053368,30.466640476205555,0.05775631136932585,1.0
,8.0,8.0,0.99336046,0.9925949868336552,0.0007654731663447878,94.84806311824804,0.1402601978982389,1.0
,9.0,9.0,0.99166132,0.9922671323710459,-0.0006058123710459551,230.96273360177193,0.8001348224319327,0.0
,7.0,7.0,0.99677627,1.0022275964823901,-0.005451326482390106,61.76002070476431,0.09947784045683061,1.0
,3.0,3.0,1.07577125,1.0527684105777497,0.023002839422250343,206.11794546719682,0.6886621981806208,0.0
,5.0,5.0,1.030396069561682,1.0266476100017425,0.003748459559939521,46.00435500274915,0.08166525368361788,1.0
,4.0,4.0,1.04582590089562,1.0521810728152567,-0.006355171919636637,72.39954681854557,0.11006861663296319,1.0
