Reference,sector_predict,measured_factor,difference
18.0,0.993804976621988,0.99805447,0.004249493378012059
58.0,1.0056196023424557,1.0089991220368746,0.0033795196944188532
20.0,1.0357941025804451,1.037966739503372,0.002172636922926907
33.0,1.0113047979287222,1.0067893123083662,-0.0045154856203559746
106.0,1.000182405825766,1.0008708904855215,0.0006884846597554617
82.0,1.000543777474016,1.00086711,0.0003233325259839326
6.0,0.9965880909934208,1.00130208,0.004713989006579267
112.0,1.0538084693186502,1.0539036477515922,9.517843294193362e-05
104.0,1.0049179704082936,1.0066006600660067,0.0016826896577131212
34.0,0.9952678710042117,0.99333046,-0.001937411004211631
19.0,1.0025143259410556,1.0010888501742161,-0.0014254757668394902
73.0,0.9941250261812697,0.99547219,0.0013471638187302348
70.0,0.9937944375072886,0.9971904,0.0033959624927114573
41.0,0.9956800847672371,0.9948287,-0.0008513847672371178
16.0,0.9997438191863566,0.99956729,-0.00017652918635657766
38.0,1.0264633226841096,1.0271898437256077,0.0007265210414981738
109.0,1.0005439787280446,1.00697928,0.0064353012719553515
3.0,1.0258009007914028,1.0327044113320498,0.006903510540646973
43.0,1.0023314854075964,1.0077825276772991,0.005451042269702722
14.0,1.03208726836094,1.043026500966466,0.010939232605526206
22.0,1.0070740459761598,1.0117127071823204,0.0046386612061606325
83.0,1.0043675304543715,1.0105517696196968,0.006184239165325289
32.0,0.9982124913619236,0.99333046,-0.004882031361923556
57.0,1.0483348678377524,1.0597044962793596,0.01136962844160716
116.0,1.010984320515086,1.0171534814552374,0.006169160940151519
117.0,1.029466809141373,1.0406677687844663,0.011200959643093311
118.0,1.0235843801114548,1.0300546759398521,0.00647029582839731
119.0,1.0460649857792497,1.0544226555747014,0.008357669795451717
120.0,1.0391431858880533,1.0535158915050993,0.014372705617045956
121.0,1.0546596708722396,1.069714115458748,0.015054444586508398
