label,energy,applicator,width,length,cutout factor
Simon #3 cutout,12,10,4.5,6.1,1.0327
Simon #6 cutout,12,10,7,10.7,1.0013
Simon #14 cutout,12,10,4.4,5.3,1.043
Simon #16 cutout,12,10,6.1,10.5,0.9996
Simon #18 cutout,12,10,7.6,10.1,0.9981
Simon #19 cutout,12,10,5.8,10.4,1.0011
Simon #20 cutout,12,10,4.3,5.1,1.038
Simon #22 cutout,12,10,5.2,10.3,1.0117
Simon #32 cutout,12,10,7.7,11.2,0.9933
Simon #33 cutout,12,10,5.9,6.2,1.0068
Simon #34 cutout,12,10,7,9.7,0.9933
Simon #38 cutout,12,10,4.7,5.7,1.0272
Simon #41 cutout,12,10,6.9,10,0.9948
Simon #43 cutout,12,10,6.1,7.7,1.0078
Simon #57 cutout,12,10,3.6,4.6,1.0597
Simon #58 cutout,12,10,5.9,7.5,1.009
Simon #70 cutout,12,10,7.5,8.4,0.9972
Simon #73 cutout,12,10,7.3,9.1,0.9955
Simon #82 cutout,12,10,6.3,8,1.0009
Simon #83 cutout,12,10,5.8,7.9,1.0106
Simon #104 cutout,12,10,5.7,8.3,1.0066
Simon #106 cutout,12,10,6.1,9.7,1.0009
Simon #109 cutout,12,10,6.3,7.8,1.007
Simon #112 cutout,12,10,3.5,4.2,1.0539
Simon 9cm circle,12,10,9,9,0.9917
Simon 8cm circle,12,10,8,8,0.9934
Simon 6cm circle,12,10,6,6,1.0144
Simon 4cm circle,12,10,4,4,1.0458
Simon 7cm circle,12,10,7,7,0.9968
Simon 3cm circle,12,10,3,3,1.0758
Simon 5cm circle,12,10,5,5,1.0304
Simon 5x13cm oval,12,10,5,13,1.0134
Simon 4x13cm oval,12,10,4,13,1.0249
Simon 4x6.5cm oval,12,10,4,6.5,1.0407
Simon 5x8cm oval,12,10,5,8,1.0172
Simon 3x6.5cm oval,12,10,3,6.5,1.0544
Simon 3x5cm oval,12,10,3,5,1.0697
Simon 4x8cm oval,12,10,4,8,1.0301
Simon 3x9cm oval,12,10,3,9,1.0535
Simon 4x10cm oval,12,10,4,10,1.0299
Simon 5x10cm oval,12,10,5,10,1.0123
Simon 3x13cm oval,12,10,3,13,1.0493
