index,energy,applicator,ssd,width,length,factor
Simon #3 cutout,12,10,100,4.5,6,0.9683
Simon #6 cutout,12,10,100,7.2,10,0.9987
Simon #14 cutout,12,10,100,4.4,5.3,0.9587
Simon #16 cutout,12,10,100,6.1,10.5,1.0004
Simon #18 cutout,12,10,100,7.6,10.1,1.0019
Simon #19 cutout,12,10,100,5.8,10.4,0.9989
Simon #20 cutout,12,10,100,4.3,5.1,0.9634
Simon #22 cutout,12,10,100,5.2,10.3,0.9884
Simon #32 cutout,12,10,100,7.7,11.2,1.0067
Simon #33 cutout,12,10,100,5.9,6.2,0.9933
Simon #34 cutout,12,10,100,7,9.7,1.0067
Simon #38 cutout,12,10,100,4.7,5.7,0.9735
Simon #41 cutout,12,10,100,6.9,10,1.0052
Simon #43 cutout,12,10,100,6.1,7.7,0.9923
Simon #57 cutout,12,10,100,3.6,4.6,0.9437
Simon #58 cutout,12,10,100,5.9,7.5,0.9911
Simon #70 cutout,12,10,100,7.5,8.4,1.0028
Simon #73 cutout,12,10,100,7.3,9.4,1.0045
Simon #82 cutout,12,10,100,6.3,8,0.9991
Simon #83 cutout,12,10,100,5.8,7.9,0.9896
Simon #104 cutout,12,10,100,5.7,8.3,0.9934
Simon #106 cutout,12,10,100,6.1,9.7,0.9991
Simon #109 cutout,12,10,100,6.3,7.8,0.9931
Simon #112 cutout,12,10,100,3.5,4.2,0.9489
